File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Heroine 2012.mkv,Heroine 2012,0.93,.mkv,1949548,Heroine,2012,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Heropanti (2014).mkv,Heropanti (2014),1.1,.mkv,3142232,Heropanti,2014,"['Action', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Heyy Babyy 2007.mkv,Heyy Babyy 2007,3.14,.mkv,0806088,Heyy Babyy,2007,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hichki (2018).mkv,Hichki (2018),0.9,.mkv,6588966,Hichki,2018,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Himalay.Putra.1997.mkv,Himalay_Putra_1997,1.23,.mkv,0119295,Himalay Putra,1997,"['Action', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hindustan ki kasam 1973.mkv,Hindustan Ki Kasam 1973,0.62,.mkv,0154591,Hindustan Ki Kasam,1973,"['Action', 'Drama', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Honeymoon.mp4,Honeymoon,0.63,.mp4,3177316,Honeymoon,2014,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hotel.Mumbai.2019.mkv,Hotel_Mumbai_2019,0.97,.mkv,5461944,Hotel Mumbai,2018,"['Action', 'Drama', 'History', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\House Arrest (2019).mkv,House Arrest (2019),0.71,.mkv,11163028,House Arrest,2019,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\HouseFull 2 (2012).mkv,Housefull 2 (2012),1.7,.mkv,1980986,Housefull 2,2012,"['Action', 'Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Housefull 4 (2019).mkv,Housefull 4 (2019),1.18,.mkv,7721946,Housefull 4,2019,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Housefull.3.2016.mkv,Housefull_3_2016,1.3,.mkv,1573072,Housefull,2010,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\House_of_Secrets__The_Burari_Deaths_Season_1_2021.mkv,House_Of_Secrets__The_Burari_Deaths_Season_1_2021,0.87,.mkv,14167390,House of Secrets: The Burari Deaths,2021,"['Documentary', 'Crime', 'History', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hum Aapke Hain Koun 1994.mkv,Hum Aapke Hain Koun 1994,2.18,.mkv,0110076,Hum Aapke Hain Koun...!,1994,"['Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hum Dil De Chuke Sanam (1999).mp4,Hum Dil De Chuke Sanam (1999),1.57,.mp4,0150992,Hum Dil De Chuke Sanam,1999,"['Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hum Dono (1995).mp4,Hum Dono (1995),1.25,.mp4,0286705,Hum Dono,1995,"['Action', 'Comedy', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hum Paanch 1980.mkv,Hum Paanch 1980,1.19,.mkv,0080901,Hum Paanch,1980,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hum Tum 2004.mkv,Hum Tum 2004,1.24,.mkv,0378072,Hum Tum,2004,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hum Tum Shabana.mp4,Hum Tum Shabana,1.21,.mp4,2034011,Hum Tum Shabana,2011,"['Comedy', 'Crime', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Humpty Sharma Ki Dulhania 2014.mp4,Humpty Sharma Ki Dulhania 2014,1.95,.mp4,3678938,Humpty Sharma Ki Dulhania,2014,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Humraaz 2002.mkv,Humraaz 2002,1.28,.mkv,0326576,Humraaz,2002,"['Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hum_Do_Hamare_Do_2021.mkv,Hum_Do_Hamare_Do_2021,1.8,.mkv,11816092,Hum Do Hamare Do,2021,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hum_Ho_Gaye_Aapke.mkv,Hum_Ho_Gaye_Aapke,1.37,.mkv,0110076,Hum Aapke Hain Koun...!,1994,"['Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hum_Tum_Pe_Marte_Hain.mp4,Hum_Tum_Pe_Marte_Hain,1.75,.mp4,0226786,Hum Tum Pe Marte Hain,1999,"['Action', 'Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hungama.mp4,Hungama,1.27,.mp4,0371735,Hungama,2003,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hungama_1971.mkv,Hungama_1971,1.13,.mkv,8983220,Hungama 2,2021,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hurdang_2022.mkv,Hurdang_2022,1.91,.mkv,10919304,Hurdang,2022,"['Drama', 'Romance']",Bollywood
