File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\The.Gray.Man_2022.mkv,The_Gray_Man_2022,2.18,.mkv,1649418,The Gray Man,2022,"['Action', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\The.Neighbor.2018.mkv,The_Neighbor_2018,0.78,.mkv,2004420,Neighbors,2014,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\The.Way.Back.2020.mp4,The_Way_Back_2020,0.97,.mp4,1023114,The Way Back,2010,"['Adventure', 'Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\The.Worst.Person.in.the.World.2021.mp4,The_Worst_Person_In_The_World_2021,1.14,.mp4,10370710,The Worst Person in the World,2021,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\The_Next_365_Days_2022.mkv,The_Next_365_Days_2022,0.84,.mkv,21106646,The Next 365 Days,2022,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Thiruchitrambalam_2022.mkv,Thiruchitrambalam_2022,1.04,.mkv,11772746,Thiruchitrambalam,2022,"['Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Three (2005)   a.k.a. Survival Island.mp4,Three (2005) A_K_A_ Survival Island,0.57,.mp4,0377309,Survival Island,2005,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\To.Steal.from.a.Thief.2016.mkv,To_Steal_From_A_Thief_2016,0.83,.mkv,3655414,To Steal from a Thief,2016,"['Adventure', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\TVF_Pitchers_S01.mkv,Tvf_Pitchers_S01,3.73,.mkv,4742876,TVF Pitchers,2015,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Violent Night.2022.mkv,Violent Night_2022,1.08,.mkv,12003946,Violent Night,2022,"['Action', 'Comedy', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Yashoda_2022.mkv,Yashoda_2022,2.3,.mkv,15710136,Yashoda,2022,"['Action', 'Crime', 'Sci-Fi', 'Thriller']",Bollywood
