File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bhindi Baazaar Inc.(2011).mp4,Bhindi Baazaar Inc_(2011),1.37,.mp4,1667823,Bhindi Baazaar Inc.,2011,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bhool Bhulaiyaa 2 2022 1080p.mkv,Bhool Bhulaiyaa 2 2022 1080P,1.8,.mkv,6455162,Bhool Bhulaiyaa 2,2022,"['Comedy', 'Drama', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bhoot.mkv,Bhoot,0.2,.mkv,10083640,Bhoot Police,2021,"['Comedy', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bhoot.The.Haunted.ship.2020.mkv,Bhoot_The_Haunted_Ship_2020,1.22,.mkv,10463030,Bhoot: Part One - The Haunted Ship,2020,"['Horror', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bhoot_Police_2021.mkv,Bhoot_Police_2021,1.06,.mkv,10083640,Bhoot Police,2021,"['Comedy', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bhopal Prayer for Rain 2014.avi,Bhopal Prayer For Rain 2014,0.77,.avi,0839742,Bhopal: A Prayer for Rain,2014,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bichhoo.mp4,Bichhoo,1.54,.mp4,0252277,Bichhoo,2000,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bioscopewala (2018).mkv,Bioscopewala (2018),0.84,.mkv,26997470,Bioscopewala,2018,"['Short', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Biwi O Biwi.mp4,Biwi O Biwi,0.62,.mp4,0266333,Biwi-O-Biwi,1981,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Black Friday (2007).avi,Black Friday (2007),0.68,.avi,1048146,The Kidnapping,2007,"['Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Black Mail_hls-1982-1.mp4,Black Mail_Hls-1982-1,1.8,.mp4,1606682,"The Spirit Moves Part 1: A History of Black Social Dance on Film, 1900 - 1986",2008,['History'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Blackmail.2018.mkv,Blackmail_2018,1.37,.mkv,0019702,Blackmail,1929,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Blank (2019).mkv,Blank (2019),1.38,.mkv,2499472,Point Blank,2019,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bluffmaster 2005.mkv,Bluffmaster 2005,0.9,.mkv,0476527,Bluffmaster,2005,"['Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bob Biswas 2021.mkv,Bob Biswas 2021,0.31,.mkv,8984572,Bob Biswas,2021,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bobby.mp4,Bobby,0.93,.mp4,0308055,Bobby,2006,"['Biography', 'Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bollywood Diaries (2016).mkv,Bollywood Diaries (2016),0.97,.mkv,5216810,Bollywood Diaries,2016,['Drama'],Bollywood
