File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\Ocean's.11[2001].avi,Ocean'S 11[2001],0.69,.avi,0240772,Ocean's Eleven,2001,"['Crime', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\October.Gale.2014.mp4,October Gale 2014,0.73,.mp4,2691734,October Gale,2014,"['Drama', 'Romance', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\October.Sky.1999.avi,October Sky 1999,0.64,.avi,0132477,October Sky,1999,"['Biography', 'Drama', 'Family']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\Oculus (2013).mkv,Oculus (2013),0.27,.mkv,2388715,Oculus,2013,"['Horror', 'Mystery', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\Office Space[1999].avi,Office Space[1999],0.68,.avi,0151804,Office Space,1999,['Comedy'],Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\On The Other Hand - A Donald Strachey mystery.avi,On The Other Hand - A Donald Strachey Mystery,0.58,.avi,1238298,"On the Other Hand, Death",2008,"['Crime', 'Drama', 'Mystery']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\one missed call DvDRip.avi,One Missed Call Dvdrip,0.68,.avi,0479968,One Missed Call,2008,"['Horror', 'Mystery']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\Open Road 2013.mp4,Open Road 2013,0.81,.mp4,1922679,Open Road,2013,"['Action', 'Drama', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\Oru Muthassi Gadha.mkv,Oru Muthassi Gadha,0.68,.mkv,5458448,Oru Muthassi Gadha,2016,"['Comedy', 'Drama', 'Family']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\Out of the Furnace [2013].avi,Out Of The Furnace [2013],0.68,.avi,1206543,Out of the Furnace,2013,"['Action', 'Crime', 'Drama', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\Outlaw.King.2018.mkv,Outlaw King 2018,0.93,.mkv,6679794,Outlaw King,2018,"['Action', 'Biography', 'Drama', 'History', 'War']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\Outlaws.and.Angels.2016.avi,Outlaws And Angels 2016,1.39,.avi,3491962,Outlaws and Angels,2016,"['Action', 'Thriller', 'Western']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\Outlaw[2007].avi,Outlaw[2007],0.69,.avi,0758771,Outlaw,2007,"['Action', 'Crime', 'Drama', 'Thriller']",Eng02
