SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
BANKNIFTY,47499.9,48034.0,47162.55,47527.25,296353,5224710,256125,12-MAR-2024
FINNIFTY,20894.9,21125.0,20692.7,20963.75,10423,80120,-11800,12-MAR-2024
MIDCPNIFTY,10815.1,10847.95,10660.05,10705.15,12324,1411050,101025,12-MAR-2024
NIFTY,22447.9,22537.9,22378.0,22447.05,134590,15632250,497700,12-MAR-2024
AARTIIND,659.85,662.6,647.0,649.45,3554,14344000,-291000,12-MAR-2024
ABB,5846.3,5857.65,5728.0,5745.5,3082,1110500,-37750,12-MAR-2024
ABBOTINDIA,27248.45,27523.75,27110.4,27163.2,734,211680,1520,12-MAR-2024
ABCAPITAL,185.9,190.85,183.5,184.7,9694,55668600,-4336200,12-MAR-2024
ABFRL,220.0,220.4,212.1,214.6,800,49797800,-2064400,12-MAR-2024
ACC,2652.05,2662.55,2565.05,2574.05,4138,4854000,90900,12-MAR-2024
ADANIENT,3199.0,3232.8,3127.4,3137.1,10807,18011700,155700,12-MAR-2024
ADANIPORTS,1338.55,1350.95,1301.0,1306.8,12840,38584000,1242400,12-MAR-2024
ALKEM,5166.1,5192.0,5058.2,5070.95,1053,1017200,-6600,12-MAR-2024
AMBUJACEM,604.5,607.0,586.0,589.0,6014,46578600,-234000,12-MAR-2024
APOLLOHOSP,6243.75,6285.0,6128.4,6165.8,6385,2256000,-88375,12-MAR-2024
APOLLOTYRE,505.05,511.35,500.0,504.1,3655,13192000,605200,12-MAR-2024
ASHOKLEY,170.2,170.5,167.4,167.85,4286,117325000,1605000,12-MAR-2024
ASIANPAINT,2895.0,2909.0,2875.55,2887.4,5267,7838000,-54600,12-MAR-2024
ASTRAL,2115.5,2115.5,2044.55,2053.85,3139,3531274,-107898,12-MAR-2024
ATUL,6033.9,6095.0,5988.3,6065.55,1428,363375,-6375,12-MAR-2024
AUBANK,584.3,591.3,575.9,579.0,7835,22081000,291000,12-MAR-2024
AUROPHARMA,1077.0,1088.75,1040.55,1048.4,4536,20436900,398200,12-MAR-2024
AXISBANK,1107.55,1125.0,1090.95,1102.5,29243,47560625,-1245000,12-MAR-2024
BAJAJ-AUTO,8664.85,8698.95,8508.1,8556.7,5643,2453250,-10250,12-MAR-2024
BAJAJFINSV,1598.45,1615.0,1575.1,1601.0,5753,10015500,-202500,12-MAR-2024
BAJFINANCE,6483.2,6517.0,6380.0,6474.35,17414,9945375,-60500,12-MAR-2024
BALKRISIND,2220.0,2367.9,2220.0,2358.05,6714,2556000,-78900,12-MAR-2024
BALRAMCHIN,376.55,376.55,361.45,364.9,2372,10372800,-35200,12-MAR-2024
BANDHANBNK,192.6,193.9,188.9,189.75,6571,104112500,1332500,12-MAR-2024
BANKBARODA,278.55,280.7,272.2,273.0,10685,122893875,327600,12-MAR-2024
BATAINDIA,1437.9,1461.0,1426.55,1431.65,2071,2965500,73500,12-MAR-2024
BEL,211.25,211.45,202.0,204.75,12998,155712600,5694300,12-MAR-2024
BERGEPAINT,568.2,570.0,560.0,561.4,2460,15754200,122760,12-MAR-2024
BHARATFORG,1164.1,1169.95,1140.4,1159.9,3687,7489500,-148000,12-MAR-2024
BHARTIARTL,1201.4,1212.5,1201.4,1209.1,5838,34442250,164350,12-MAR-2024
BHEL,255.65,256.9,244.35,245.5,9580,91497000,6016500,12-MAR-2024
BIOCON,280.4,283.0,271.0,271.7,4025,49395000,1222500,12-MAR-2024
BOSCHLTD,29552.0,29883.0,29401.2,29583.85,997,265500,-1400,12-MAR-2024
BPCL,628.5,636.45,618.3,624.55,9101,27817200,-1224000,12-MAR-2024
BRITANNIA,4926.8,4955.7,4877.0,4888.75,2117,2460800,2200,12-MAR-2024
BSOFT,779.85,792.5,761.25,763.95,3727,8098000,248000,12-MAR-2024
CANBK,589.6,591.4,568.35,570.05,9580,46882800,2108700,12-MAR-2024
CANFINHOME,768.6,772.0,756.5,762.2,1201,3819075,60450,12-MAR-2024
CHAMBLFERT,374.15,375.35,360.0,360.95,1973,7930600,53200,12-MAR-2024
CHOLAFIN,1095.75,1101.05,1062.45,1071.5,6195,14105000,47500,12-MAR-2024
CIPLA,1513.65,1519.3,1466.85,1472.0,4937,10190050,213200,12-MAR-2024
COALINDIA,455.55,457.2,448.0,451.5,8124,57470700,-31500,12-MAR-2024
COFORGE,6288.45,6361.5,6211.0,6271.3,3595,1406100,-15450,12-MAR-2024
COLPAL,2630.0,2630.8,2592.9,2605.95,937,3232600,-6650,12-MAR-2024
CONCOR,963.0,975.0,926.95,930.2,3605,17819000,-17000,12-MAR-2024
COROMANDEL,1103.85,1117.2,1103.45,1110.1,1184,1301300,-35000,12-MAR-2024
CROMPTON,289.75,291.45,286.8,287.7,1784,17902800,-619200,12-MAR-2024
CUB,133.25,134.1,131.7,131.9,1282,44980000,-105000,12-MAR-2024
CUMMINSIND,2849.7,2849.7,2754.6,2773.75,3114,3640500,-78600,12-MAR-2024
DABUR,532.8,534.9,528.3,531.3,1978,21993750,-71250,12-MAR-2024
DALBHARAT,1947.85,1959.55,1895.6,1917.8,2480,3494500,145750,12-MAR-2024
DEEPAKNTR,2173.45,2177.7,2133.45,2139.65,1803,2857800,-3000,12-MAR-2024
DIVISLAB,3611.75,3645.0,3574.95,3590.4,4524,3877800,-117200,12-MAR-2024
DIXON,7029.85,7119.95,6904.5,6935.9,4252,1398400,15700,12-MAR-2024
DLF,915.9,925.35,866.1,869.25,13038,35539350,2164800,12-MAR-2024
DRREDDY,6436.3,6444.65,6298.45,6332.85,3631,2173375,-10500,12-MAR-2024
EICHERMOT,3792.65,3865.95,3788.25,3823.3,4650,4025875,-95900,12-MAR-2024
ESCORTS,2851.8,2859.0,2806.25,2826.6,1052,2062500,-4950,12-MAR-2024
EXIDEIND,325.0,327.1,319.15,321.3,1835,19044000,140400,12-MAR-2024
FEDERALBNK,155.55,156.55,152.1,152.65,6159,92105000,540000,12-MAR-2024
GAIL,184.4,185.4,179.45,180.85,7138,133127925,1550925,12-MAR-2024
GLENMARK,958.7,970.1,934.9,950.3,3419,14201300,-184150,12-MAR-2024
GMRINFRA,82.95,83.7,81.0,81.3,4599,205830000,-3858750,12-MAR-2024
GNFC,618.9,632.65,612.35,623.7,2039,8642400,-50700,12-MAR-2024
GODREJCP,1230.0,1245.15,1215.7,1219.8,1792,5900500,-27500,12-MAR-2024
GODREJPROP,2448.4,2448.45,2326.15,2332.0,3415,4559525,44650,12-MAR-2024
GRANULES,444.6,448.35,428.3,430.85,2181,11398000,700000,12-MAR-2024
GRASIM,2245.4,2253.15,2185.65,2194.55,2808,7116840,51516,12-MAR-2024
GUJGASLTD,569.9,571.0,556.35,558.35,1172,7185000,-118750,12-MAR-2024
HAL,3380.5,3394.0,3256.55,3286.4,13984,8716800,-56700,12-MAR-2024
HAVELLS,1548.1,1550.25,1507.5,1510.4,2527,5319000,-70500,12-MAR-2024
HCLTECH,1644.65,1671.3,1638.9,1643.55,5140,14880600,-15400,12-MAR-2024
HDFCAMC,3720.05,3766.15,3656.55,3690.05,4063,2927700,-79500,12-MAR-2024
HDFCBANK,1442.0,1470.45,1436.15,1467.05,115690,206103700,-12815550,12-MAR-2024
HDFCLIFE,620.05,631.7,618.0,624.2,9212,28597800,-517000,12-MAR-2024
HEROMOTOCO,4675.45,4693.5,4630.0,4654.95,2344,3852000,19500,12-MAR-2024
HINDALCO,537.25,538.55,527.35,531.6,5021,40252800,431200,12-MAR-2024
HINDCOPPER,266.85,269.5,254.0,256.85,504,36702500,-2591700,12-MAR-2024
HINDPETRO,512.65,523.0,508.9,516.25,6159,38896200,-1088100,12-MAR-2024
HINDUNILVR,2386.2,2395.3,2371.35,2387.1,6050,12934800,257700,12-MAR-2024
ICICIBANK,1081.45,1098.1,1062.0,1082.3,51714,72198000,-1328600,12-MAR-2024
ICICIGI,1669.75,1697.9,1638.75,1670.4,3501,2349000,-125000,12-MAR-2024
ICICIPRULI,597.95,605.9,593.55,601.5,4465,12553500,-825000,12-MAR-2024
IDEA,13.8,13.95,13.55,13.75,6609,2092080000,-21360000,12-MAR-2024
IDFC,114.75,116.35,113.1,113.55,2609,75210000,660000,12-MAR-2024
IDFCFIRSTB,80.0,81.4,79.45,79.65,9578,383805000,-3097500,12-MAR-2024
IEX,143.95,144.4,140.75,141.9,3995,66600000,1293750,12-MAR-2024
IGL,424.95,435.15,421.5,427.65,7407,19129000,-1178375,12-MAR-2024
INDHOTEL,566.65,578.25,565.85,570.65,2510,19570000,-678000,12-MAR-2024
INDIACEM,221.4,221.4,213.05,213.6,1726,21999400,594500,12-MAR-2024
INDIAMART,2569.6,2702.15,2569.3,2629.15,5313,965700,49500,12-MAR-2024
INDIGO,3234.0,3323.1,3206.0,3258.1,15510,7556400,-228900,12-MAR-2024
INDUSINDBK,1552.0,1562.8,1535.0,1540.7,9090,24431000,152000,12-MAR-2024
INDUSTOWER,249.3,251.25,243.0,249.0,5335,105570000,3172200,12-MAR-2024
INFY,1608.35,1629.8,1603.45,1621.05,17270,31147600,-239600,12-MAR-2024
IOC,174.8,176.2,171.8,173.65,4963,170888250,-2262000,12-MAR-2024
IPCALAB,1183.45,1198.75,1158.2,1176.4,1268,2450500,-136500,12-MAR-2024
IRCTC,943.3,943.5,918.45,925.9,4997,17499125,571375,12-MAR-2024
ITC,406.0,408.25,400.4,405.95,46836,118627200,5552000,12-MAR-2024
JINDALSTEL,838.9,838.9,805.1,812.2,4751,22666250,126250,12-MAR-2024
JKCEMENT,4259.95,4318.95,4175.0,4188.45,1604,674500,34250,12-MAR-2024
JSWSTEEL,832.1,832.1,818.0,820.5,5753,17702550,-39825,12-MAR-2024
JUBLFOOD,452.8,452.8,445.2,447.7,3283,19392500,600000,12-MAR-2024
KOTAKBANK,1741.0,1747.35,1716.25,1730.05,34607,39421600,2379600,12-MAR-2024
L&TFH,157.5,159.1,154.8,156.4,2807,49764686,852242,12-MAR-2024
LALPATHLAB,2149.0,2155.0,2100.45,2106.15,1533,1732800,113700,12-MAR-2024
LAURUSLABS,416.0,422.15,406.6,415.0,3493,12073400,-341700,12-MAR-2024
LICHSGFIN,636.2,640.5,623.45,626.95,3090,16116000,-44000,12-MAR-2024
LT,3658.0,3687.85,3630.2,3635.65,9073,16041000,-33000,12-MAR-2024
LTIM,5147.75,5235.95,5136.1,5225.45,6128,2912850,-74400,12-MAR-2024
LTTS,5278.2,5347.75,5220.0,5288.35,1809,759600,10000,12-MAR-2024
LUPIN,1678.05,1691.35,1645.0,1654.3,1598,6117450,-82450,12-MAR-2024
M&M,1899.25,1907.85,1885.95,1901.85,7409,14337400,-32200,12-MAR-2024
M&MFIN,285.5,285.65,279.3,280.9,2042,24238000,-232000,12-MAR-2024
MANAPPURAM,171.05,172.75,165.2,169.9,322,60912000,-1932000,12-MAR-2024
MARICO,510.7,511.5,503.3,506.1,1708,13154400,440400,12-MAR-2024
MARUTI,11448.5,11609.3,11432.45,11554.15,9668,2651350,-9050,12-MAR-2024
MCDOWELL-N,1148.0,1150.65,1130.9,1139.7,1485,6489700,-71400,12-MAR-2024
MCX,3578.4,3588.0,3452.05,3468.1,2817,2386400,119600,12-MAR-2024
METROPOLIS,1611.85,1635.85,1584.0,1629.3,1629,1326000,43200,12-MAR-2024
MFSL,991.0,999.5,972.05,985.3,1617,10400800,-15200,12-MAR-2024
MGL,1276.0,1320.95,1276.0,1312.15,375,3670400,-300000,12-MAR-2024
MOTHERSON,117.35,118.15,115.4,116.6,5281,153608500,5126200,12-MAR-2024
MPHASIS,2474.4,2515.95,2433.6,2441.5,4247,3600300,148775,12-MAR-2024
MRF,144499.6,144699.85,142255.5,142698.75,2911,42970,2125,12-MAR-2024
MUTHOOTFIN,1425.0,1425.0,1386.55,1401.8,2783,6771050,-171600,12-MAR-2024
NATIONALUM,158.25,159.7,151.8,152.6,7486,100590000,12982500,12-MAR-2024
NAUKRI,5209.25,5259.2,5146.2,5183.1,2064,1299000,19950,12-MAR-2024
NAVINFLUOR,3057.25,3074.05,3008.5,3026.35,2052,1942500,51450,12-MAR-2024
NESTLEIND,2618.0,2627.65,2572.15,2598.05,3035,4888400,-30400,12-MAR-2024
NMDC,230.0,231.65,222.15,224.6,9137,83322000,0,12-MAR-2024
NTPC,349.15,350.15,344.15,346.5,6579,88161000,2607000,12-MAR-2024
OBEROIRLTY,1375.1,1385.45,1320.9,1332.15,2337,6183800,-54600,12-MAR-2024
OFSS,8347.1,8638.45,8175.0,8302.0,8999,1227400,205400,12-MAR-2024
ONGC,274.0,276.8,270.3,271.6,7194,89358500,2494800,12-MAR-2024
PAGEIND,35720.65,35986.3,35154.65,35254.0,2922,153360,7230,12-MAR-2024
PEL,873.75,877.0,860.7,864.45,7639,14123250,1080000,12-MAR-2024
PERSISTENT,8204.0,8364.85,8125.5,8219.8,4406,1532500,1700,12-MAR-2024
