SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
IPCALAB,1174.4,1210.0,1169.95,1199.95,7083,3056950,581750,22-MAR-2024
IRCTC,936.0,942.0,928.9,931.25,8456,15428000,108500,22-MAR-2024
ITC,422.35,429.85,422.15,428.75,53624,129409600,-2056000,22-MAR-2024
JINDALSTEL,822.3,839.0,814.1,833.7,7767,22337500,58750,22-MAR-2024
JKCEMENT,4111.75,4147.5,4095.3,4106.4,1967,720000,-30250,22-MAR-2024
JSWSTEEL,813.0,834.9,809.05,827.15,21916,20154150,353025,22-MAR-2024
JUBLFOOD,450.85,456.0,447.65,452.8,9475,17737500,-1745000,22-MAR-2024
KOTAKBANK,1774.15,1783.45,1765.75,1778.5,31783,33992400,-1177600,22-MAR-2024
L&TFH,155.75,156.6,154.55,155.6,5548,54918296,530978,22-MAR-2024
LALPATHLAB,2094.85,2137.95,2068.3,2133.5,5538,2276100,-48600,22-MAR-2024
LAURUSLABS,384.8,401.3,384.8,398.0,6492,11940800,-1978800,22-MAR-2024
LICHSGFIN,590.0,600.25,588.3,596.3,4559,18302000,482000,22-MAR-2024
LT,3569.8,3657.6,3562.9,3624.85,32469,16079700,-507300,22-MAR-2024
LTIM,5045.5,5096.5,4945.2,5026.4,21307,2841600,-80550,22-MAR-2024
LTTS,5305.75,5399.4,5216.45,5375.2,5194,743200,44000,22-MAR-2024
LUPIN,1608.0,1620.1,1597.7,1610.95,3915,6408150,199750,22-MAR-2024
M&M,1869.85,1910.95,1853.0,1885.0,24088,15277150,31500,22-MAR-2024
M&MFIN,268.05,277.2,267.0,274.25,11749,25250000,-4574000,22-MAR-2024
MANAPPURAM,173.15,174.25,171.0,173.55,3929,58524000,1452000,22-MAR-2024
MARICO,506.95,506.95,494.6,498.05,6891,14354400,-387600,22-MAR-2024
MARUTI,11906.8,12388.6,11889.55,12314.75,57653,2861500,115150,22-MAR-2024
MCDOWELL-N,1109.1,1144.25,1108.2,1134.9,6046,6951700,-13300,22-MAR-2024
MCX,3309.6,3375.0,3273.1,3348.9,4918,3175200,31200,22-MAR-2024
METROPOLIS,1626.95,1657.45,1606.0,1610.45,4297,1724400,170000,22-MAR-2024
MFSL,953.65,954.75,932.85,946.35,6314,9420800,154400,22-MAR-2024
MGL,1319.5,1347.0,1306.05,1340.55,3086,2941600,-163200,22-MAR-2024
MOTHERSON,116.35,116.95,115.0,116.6,13962,182292500,7930700,22-MAR-2024
MPHASIS,2377.35,2411.45,2308.4,2392.85,12731,3001900,-165550,22-MAR-2024
MRF,132268.15,132865.8,130800.15,131789.7,11301,52625,-210,22-MAR-2024
MUTHOOTFIN,1425.3,1429.65,1414.05,1420.4,11646,6821650,-909700,22-MAR-2024
NATIONALUM,145.55,151.1,144.65,148.9,7803,92227500,375000,22-MAR-2024
NAUKRI,5268.95,5282.9,5076.15,5259.2,8298,1333050,35700,22-MAR-2024
NAVINFLUOR,3093.0,3129.4,3078.6,3102.3,6044,1834050,-49500,22-MAR-2024
NESTLEIND,2545.2,2604.0,2540.35,2580.7,10810,4922800,-170000,22-MAR-2024
NMDC,207.5,207.5,202.2,204.65,17698,86089500,-1066500,22-MAR-2024
NTPC,324.3,328.25,321.85,325.75,17917,104313000,504000,22-MAR-2024
OBEROIRLTY,1420.85,1459.0,1419.75,1450.7,4692,5826800,-119000,22-MAR-2024
OFSS,8324.65,8463.45,8153.95,8404.45,5298,1441200,47000,22-MAR-2024
ONGC,261.95,265.65,259.3,263.75,12633,89239150,-2987600,22-MAR-2024
PAGEIND,33856.8,34514.8,33812.35,34472.3,6922,151995,-21630,22-MAR-2024
PEL,849.05,869.5,847.0,863.8,996,11633250,-452250,22-MAR-2024
PERSISTENT,8001.05,8100.1,7860.0,8006.8,21536,1508900,-43600,22-MAR-2024
PETRONET,259.1,260.55,256.35,259.6,5803,40410000,-1152000,22-MAR-2024
PFC,383.0,395.6,379.2,392.15,15365,86369875,-813750,22-MAR-2024
PIDILITIND,2934.9,2974.35,2896.55,2964.1,7072,2017000,11250,22-MAR-2024
PIIND,3725.05,3802.05,3725.05,3794.55,4775,1712500,-21750,22-MAR-2024
PNB,120.55,123.45,120.15,122.75,24791,227152000,-17328000,22-MAR-2024
POLYCAB,5009.75,5049.0,4904.8,4920.65,18245,1805600,-159200,22-MAR-2024
POWERGRID,273.5,279.2,271.5,276.85,11859,61113600,-3769200,22-MAR-2024
PVRINOX,1318.55,1336.95,1315.45,1330.75,7318,6510372,-644688,22-MAR-2024
RAMCOCEM,817.55,824.6,804.0,809.6,5063,5259800,315350,22-MAR-2024
RBLBANK,243.95,247.0,241.3,243.05,30656,64072500,2060000,22-MAR-2024
RECLTD,445.75,460.8,440.3,456.1,18877,45888000,-1906000,22-MAR-2024
RELIANCE,2890.4,2930.25,2890.4,2919.65,70114,41672750,1219500,22-MAR-2024
SAIL,128.45,132.0,125.05,129.9,1506,152376000,-11880000,22-MAR-2024
SBICARD,709.05,711.4,702.45,704.75,22163,22188000,-1104800,22-MAR-2024
SBILIFE,1472.0,1513.4,1460.55,1503.0,9614,9205500,-120000,22-MAR-2024
SBIN,743.0,750.5,742.05,748.15,39349,98731500,-2142000,22-MAR-2024
SHREECEM,25278.1,25490.0,25230.65,25368.4,5702,278625,-5725,22-MAR-2024
SHRIRAMFIN,2329.0,2362.75,2312.5,2336.15,12086,7336200,441900,22-MAR-2024
SIEMENS,4937.15,5013.75,4875.0,4997.45,8551,1301700,44100,22-MAR-2024
SRF,2559.05,2607.0,2534.75,2552.0,10880,4315125,309750,22-MAR-2024
SUNPHARMA,1569.45,1620.55,1568.85,1611.55,14028,15031100,1066100,22-MAR-2024
SUNTV,590.45,596.45,587.65,588.7,1667,6676500,-273000,22-MAR-2024
SYNGENE,688.75,702.05,688.7,698.6,5294,4975000,-539000,22-MAR-2024
TATACHEM,1022.45,1068.45,1018.0,1049.5,1586,11641300,-858550,22-MAR-2024
TATACOMM,1925.0,1929.0,1901.9,1922.9,9096,6745500,-225500,22-MAR-2024
TATACONSUM,1133.8,1141.95,1120.7,1125.05,5770,10927800,653400,22-MAR-2024
TATAMOTORS,964.8,987.35,951.6,981.9,39268,67955400,-2676150,22-MAR-2024
TATAPOWER,391.65,395.7,387.4,391.5,16269,90868500,-138375,22-MAR-2024
TATASTEEL,148.6,153.1,148.6,152.0,50132,322201000,-9922000,22-MAR-2024
TCS,3920.3,3946.65,3861.35,3922.2,59273,17314500,1130850,22-MAR-2024
TECHM,1259.7,1280.15,1235.3,1264.5,18886,12946200,606000,22-MAR-2024
TITAN,3631.9,3729.85,3627.05,3713.15,15505,4840850,-257075,22-MAR-2024
TORNTPHARM,2553.05,2574.45,2541.25,2565.15,1344,1631500,-2000,22-MAR-2024
TRENT,3998.45,4015.0,3932.65,3963.3,4085,2951200,-41200,22-MAR-2024
TVSMOTOR,2076.7,2092.0,2041.95,2059.25,8640,4861150,-220150,22-MAR-2024
UBL,1718.45,1743.05,1718.0,1729.4,5246,2604000,208400,22-MAR-2024
ULTRACEMCO,9642.05,9783.75,9596.5,9702.9,14793,2026800,-103900,22-MAR-2024
UPL,457.65,476.0,457.65,471.9,26471,38864800,-5913700,22-MAR-2024
VEDL,273.2,274.85,270.35,272.1,27892,121456100,1545600,22-MAR-2024
VOLTAS,1087.0,1090.35,1065.8,1068.3,10862,7413000,-88800,22-MAR-2024
WIPRO,490.0,491.25,479.4,487.65,39004,52852500,619500,22-MAR-2024
ZEEL,142.2,145.0,141.45,143.0,151,114648000,-423000,22-MAR-2024
ZYDUSLIFE,990.95,1007.8,985.1,1001.7,5448,8595900,59400,22-MAR-2024
