SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
BANKNIFTY,47705.3,48344.95,47705.3,48117.45,332195,4755585,-108690,06-MAR-2024
FINNIFTY,20916.05,21151.9,20915.55,21063.75,3079,85240,-2800,06-MAR-2024
MIDCPNIFTY,10919.95,10950.05,10723.3,10884.85,16190,1168575,183450,06-MAR-2024
NIFTY,22398.0,22605.0,22322.0,22593.05,202651,16095650,1153050,06-MAR-2024
AARTIIND,665.9,665.9,640.15,657.85,3299,14062000,-29000,06-MAR-2024
ABB,5689.45,5735.65,5604.1,5722.4,3638,1334000,-46750,06-MAR-2024
ABBOTINDIA,27481.6,27723.25,27126.05,27508.45,787,197280,3240,06-MAR-2024
ABCAPITAL,192.65,192.9,171.65,181.6,10787,61408800,1306800,06-MAR-2024
ABFRL,234.5,236.4,222.95,225.0,9158,47483800,3957200,06-MAR-2024
ACC,2686.1,2689.65,2605.65,2652.9,2804,4719000,-39300,06-MAR-2024
ADANIENT,3334.2,3340.0,3199.35,3257.45,13891,17082900,926100,06-MAR-2024
ADANIPORTS,1351.95,1351.95,1307.75,1332.65,9681,37195200,111200,06-MAR-2024
ALKEM,5118.7,5244.65,5116.9,5233.65,1556,990800,-30600,06-MAR-2024
AMBUJACEM,614.8,616.1,597.5,601.8,6693,47062800,-52200,06-MAR-2024
APOLLOHOSP,6055.1,6107.8,5981.0,6093.75,4367,2562750,-8125,06-MAR-2024
APOLLOTYRE,542.85,542.85,525.85,538.0,1824,9214000,-173400,06-MAR-2024
ASHOKLEY,172.6,172.75,169.45,171.3,3994,113625000,455000,06-MAR-2024
ASIANPAINT,2833.1,2847.0,2785.0,2837.8,9664,8462000,303400,06-MAR-2024
ASTRAL,2114.8,2114.95,2051.55,2100.7,2282,3549257,-74501,06-MAR-2024
ATUL,6100.0,6120.05,5978.05,6065.8,1524,371475,5325,06-MAR-2024
AUBANK,576.0,579.25,567.0,569.5,8053,22404000,-1079000,06-MAR-2024
AUROPHARMA,1085.85,1088.0,1042.6,1067.15,5148,19773600,-96800,06-MAR-2024
AXISBANK,1107.1,1134.8,1101.65,1128.55,36851,49122500,-3935000,06-MAR-2024
BAJAJ-AUTO,8412.8,8698.95,8384.3,8635.05,11962,2271750,121250,06-MAR-2024
BAJAJFINSV,1549.9,1567.0,1535.5,1563.9,5603,10496500,94000,06-MAR-2024
BAJFINANCE,6347.95,6382.0,6208.3,6348.45,29660,10855750,466000,06-MAR-2024
BALKRISIND,2287.25,2299.3,2241.7,2294.4,1334,2500200,2100,06-MAR-2024
BALRAMCHIN,382.0,382.45,370.9,375.25,1865,10606400,-76800,06-MAR-2024
BANDHANBNK,199.05,199.05,194.4,196.1,8738,100685000,-1290000,06-MAR-2024
BANKBARODA,279.05,285.3,272.15,283.6,22869,122896800,-5218200,06-MAR-2024
BATAINDIA,1452.4,1467.0,1416.9,1441.85,2895,2924625,78000,06-MAR-2024
BEL,211.7,213.75,206.05,211.5,12558,146073900,1995000,06-MAR-2024
BERGEPAINT,554.1,559.45,548.0,557.05,2422,16687440,-455400,06-MAR-2024
BHARATFORG,1190.6,1190.6,1153.3,1183.05,4140,7334000,75000,06-MAR-2024
BHARTIARTL,1171.6,1200.0,1162.7,1197.75,9107,37189650,-639350,06-MAR-2024
BHEL,270.65,272.65,250.15,256.85,26483,89097750,-4509750,06-MAR-2024
BIOCON,281.45,281.45,270.0,276.55,5844,49580000,1345000,06-MAR-2024
BOSCHLTD,30350.7,30409.95,29684.3,30303.1,1842,267650,3550,06-MAR-2024
BPCL,641.6,652.0,622.55,637.3,13571,30130200,-1314000,06-MAR-2024
BRITANNIA,4844.45,4905.0,4816.0,4898.3,1782,2576600,-2400,06-MAR-2024
BSOFT,756.15,776.5,742.5,773.85,3920,7999000,83000,06-MAR-2024
CANBK,605.0,609.6,587.6,603.45,11302,42676200,-310500,06-MAR-2024
CANFINHOME,792.05,799.8,762.7,788.05,1926,3582150,-82875,06-MAR-2024
CHAMBLFERT,357.95,361.35,351.0,360.45,1363,8593700,-459800,06-MAR-2024
CHOLAFIN,1049.95,1060.8,1017.15,1026.0,6964,15798750,1505000,06-MAR-2024
CIPLA,1485.3,1494.7,1455.9,1491.3,3163,9864400,91000,06-MAR-2024
COALINDIA,463.35,466.5,445.8,463.1,15030,60244800,-1092000,06-MAR-2024
COFORGE,6339.95,6370.0,6140.15,6342.85,4983,1323450,83550,06-MAR-2024
COLPAL,2553.0,2564.6,2510.0,2558.2,752,3263750,4200,06-MAR-2024
CONCOR,970.9,978.6,953.45,976.25,3293,17741000,62000,06-MAR-2024
COROMANDEL,1092.3,1104.95,1077.05,1102.65,713,1365000,-13300,06-MAR-2024
CROMPTON,296.4,297.3,290.2,293.1,2261,18473400,644400,06-MAR-2024
CUB,138.0,138.65,135.6,137.5,1555,44465000,415000,06-MAR-2024
CUMMINSIND,2772.5,2806.9,2722.25,2796.6,2702,3806400,-107400,06-MAR-2024
DABUR,536.8,537.65,529.55,533.9,1901,22156250,81250,06-MAR-2024
DALBHARAT,1994.2,2005.95,1921.0,1954.0,3210,3294750,48250,06-MAR-2024
DEEPAKNTR,2200.95,2208.7,2141.2,2203.05,2483,2860500,-30300,06-MAR-2024
DIVISLAB,3495.0,3583.3,3461.8,3568.85,6675,4176200,-19000,06-MAR-2024
DIXON,7095.65,7246.25,6943.05,7197.85,7627,1437800,16000,06-MAR-2024
DLF,935.4,937.75,911.4,927.85,5589,32942250,-151800,06-MAR-2024
DRREDDY,6323.05,6353.85,6225.75,6342.1,3580,2222000,21500,06-MAR-2024
EICHERMOT,3808.8,3822.9,3747.5,3816.05,4069,4148375,0,06-MAR-2024
ESCORTS,2883.05,2883.05,2806.95,2859.95,1540,1998425,44275,06-MAR-2024
EXIDEIND,328.25,328.25,318.3,323.9,1546,18694800,316800,06-MAR-2024
FEDERALBNK,156.95,158.95,153.15,157.65,12536,91770000,-7550000,06-MAR-2024
GAIL,194.55,194.9,186.3,191.05,11637,129747000,-4693950,06-MAR-2024
GLENMARK,920.0,942.1,907.0,933.1,4626,14755200,-725,06-MAR-2024
