SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,411.0,419.75,408.0,413.9,150641,62308403.7,05-MAY-2023
3MINDIA,23500.0,23794.0,23200.0,23387.55,3118,73310032.8,05-MAY-2023
AARTIDRUGS,454.8,455.0,440.0,445.75,229322,102192139.15,05-MAY-2023
AARTIIND,552.25,556.6,542.0,544.5,625230,344475452.55,05-MAY-2023
AARTIPHARM,393.0,401.1,392.7,395.6,226365,89653086.05,05-MAY-2023
AAVAS,1407.95,1460.0,1405.05,1438.2,765535,1093288361.05,05-MAY-2023
ABB,3653.0,3753.65,3649.95,3718.85,978769,3637888380.55,05-MAY-2023
ABBOTINDIA,22624.95,22700.0,22422.05,22650.8,3879,87603204.6,05-MAY-2023
ABCAPITAL,173.25,174.15,170.25,170.65,2663617,458756289.05,05-MAY-2023
ABFRL,226.0,226.3,210.25,214.2,2857826,624856236.25,05-MAY-2023
ACC,1771.0,1785.0,1750.0,1764.65,566808,1001840373.1,05-MAY-2023
ACCELYA,1395.05,1414.7,1280.5,1291.6,261782,347469911.8,05-MAY-2023
ACE,442.95,447.8,435.55,444.8,313467,138687686.65,05-MAY-2023
ACI,542.45,549.9,540.15,549.0,68551,37482538.55,05-MAY-2023
ADANIENT,1954.8,1955.0,1903.15,1920.3,6137744,11851215203.3,05-MAY-2023
ADANIGREEN,946.95,957.65,933.0,940.55,3266241,3073302486.6,05-MAY-2023
ADANIPORTS,682.8,693.6,677.5,683.9,5193692,3554950230.95,05-MAY-2023
ADANIPOWER,240.9,243.4,236.5,239.85,5879771,1409442122.3,05-MAY-2023
ADVENZYMES,275.5,276.4,274.0,275.05,25710,7075788.85,05-MAY-2023
AEGISCHEM,390.0,397.15,389.0,394.15,172035,67902769.5,05-MAY-2023
AETHER,994.8,1003.4,975.4,991.7,61382,60667016.5,05-MAY-2023
AFFLE,922.0,936.05,920.2,928.9,138366,128522110.95,05-MAY-2023
AGI,474.1,496.1,474.0,496.1,2579329,1267144631.9,05-MAY-2023
AHLUCONT,566.45,579.35,544.0,554.8,53123,29736785.45,05-MAY-2023
AIAENG,2782.0,2820.0,2740.0,2747.4,24568,68160464.55,05-MAY-2023
AJANTPHARM,1286.05,1308.9,1279.6,1298.45,156136,202196269.45,05-MAY-2023
ALKEM,3484.1,3499.95,3452.6,3465.8,46430,161246353.15,05-MAY-2023
ALKYLAMINE,2550.0,2578.15,2485.05,2504.9,37134,94389298.1,05-MAY-2023
ALLCARGO,306.4,308.4,298.05,299.95,150331,45410155.6,05-MAY-2023
AMBER,1870.0,1880.2,1855.95,1865.2,57546,107262563.45,05-MAY-2023
AMBUJACEM,388.5,406.0,387.45,400.55,11844907,4721435872.45,05-MAY-2023
AMIORG,1042.7,1046.95,1012.0,1018.6,32427,33445751.0,05-MAY-2023
ANANDRATHI,879.45,886.0,873.5,876.45,30909,27240546.45,05-MAY-2023
ANANTRAJ,139.3,140.8,133.95,135.3,794764,108572586.85,05-MAY-2023
ANGELONE,1222.55,1228.9,1218.15,1221.65,132245,161693532.8,05-MAY-2023
ANURAS,1150.75,1170.0,1060.7,1132.55,1033368,1133339617.4,05-MAY-2023
APARINDS,2959.0,2984.95,2922.2,2936.4,50776,149640056.65,05-MAY-2023
APCOTEXIND,500.4,506.7,495.95,503.1,61064,30696780.9,05-MAY-2023
APLAPOLLO,1209.8,1209.8,1188.0,1189.75,171953,205259374.0,05-MAY-2023
APLLTD,563.5,563.5,553.0,554.7,26946,15017102.7,05-MAY-2023
APOLLOHOSP,4550.0,4630.0,4521.5,4602.5,332169,1522038537.0,05-MAY-2023
APOLLOPIPE,599.6,607.75,590.2,601.5,65941,39663069.6,05-MAY-2023
APOLLOTYRE,361.55,371.8,359.1,368.9,4033463,1481154132.85,05-MAY-2023
APTUS,263.4,267.15,254.6,257.65,790006,206670051.7,05-MAY-2023
ARVIND,111.55,112.95,108.05,109.8,994931,109543531.15,05-MAY-2023
ARVINDFASN,286.0,286.0,280.05,281.25,54668,15431477.55,05-MAY-2023
ASAHIINDIA,498.7,503.3,483.2,484.85,62614,30834696.15,05-MAY-2023
ASHOKA,89.0,89.3,86.25,86.55,891599,77786991.45,05-MAY-2023
ASHOKLEY,145.7,146.0,143.75,144.5,2777444,402396894.5,05-MAY-2023
ASIANPAINT,2971.0,3025.0,2951.05,3012.95,1326561,3972730988.6,05-MAY-2023
ASTEC,1361.2,1384.95,1357.1,1362.25,10090,13819117.9,05-MAY-2023
ASTERDM,247.75,249.45,242.0,243.75,162955,40143394.75,05-MAY-2023
ASTRAL,1491.0,1524.15,1488.1,1506.4,571178,864132156.6,05-MAY-2023
ASTRAMICRO,322.0,324.65,313.45,318.6,434060,138354279.15,05-MAY-2023
ASTRAZEN,3209.8,3225.5,3182.2,3209.0,2351,7531782.65,05-MAY-2023
ATGL,938.0,939.0,915.4,918.8,288689,266644132.35,05-MAY-2023
ATUL,6760.05,6789.5,6693.4,6721.45,30073,202352813.45,05-MAY-2023
AUBANK,686.0,692.6,672.15,674.1,873669,595426118.05,05-MAY-2023
AUROPHARMA,613.0,614.65,598.1,599.05,1157895,698206517.1,05-MAY-2023
AUTOAXLES,2448.9,2487.0,2448.9,2476.35,9803,24229513.85,05-MAY-2023
AVALON,371.9,375.45,366.05,367.65,120820,44694028.15,05-MAY-2023
AVANTIFEED,374.05,377.6,368.0,371.55,126799,47180937.25,05-MAY-2023
AWL,400.0,403.55,396.05,397.0,1147292,457713271.05,05-MAY-2023
AXISBANK,867.15,885.0,862.75,865.3,14343308,12538877195.7,05-MAY-2023
BAJAJ-AUTO,4463.1,4504.3,4427.4,4463.1,180033,804325714.4,05-MAY-2023
BAJAJCON,172.0,179.7,171.6,174.6,1428882,251237876.45,05-MAY-2023
BAJAJFINSV,1371.5,1394.0,1355.4,1359.25,2572062,3540395133.55,05-MAY-2023
BAJAJHLDNG,6885.0,6998.15,6785.65,6814.4,21428,146827725.1,05-MAY-2023
BAJFINANCE,6379.95,6448.0,6331.65,6389.85,1160040,7423924552.35,05-MAY-2023
BALAMINES,2291.0,2298.8,2212.0,2229.0,50147,113561358.45,05-MAY-2023
BALKRISIND,2130.25,2155.0,2120.0,2139.2,321964,689130968.9,05-MAY-2023
BALMLAWRIE,121.7,123.2,120.3,122.4,277311,33835816.7,05-MAY-2023
BALRAMCHIN,419.2,423.2,412.0,415.25,729133,303549414.85,05-MAY-2023
BANDHANBNK,233.0,236.35,229.0,229.6,8735519,2026848808.35,05-MAY-2023
BANKBARODA,185.2,188.4,183.0,183.4,17390789,3224580495.75,05-MAY-2023
BANKINDIA,86.5,89.2,85.6,86.2,21390482,1873252085.95,05-MAY-2023
BARBEQUE,619.0,619.0,596.5,599.9,258964,155353501.5,05-MAY-2023
