,strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,type
63,21800,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE21800.00,20693,-129,-0.6195370281433099,17741,7.33,449.6,-31.75,-6.596031993352031,25000,24700,200,445.6,50,449.85,22212.7,CE
64,21850,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE21850.00,1888,-161,-7.857491459248414,2765,0.0,383.95,-52.35000000000002,-11.998624799449924,117200,28100,600,396.4,50,415.4,22212.7,CE
65,21900,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE21900.00,13523,-1290,-8.70856679943293,24604,9.88,362.8,-35.30000000000001,-8.867118814368252,143950,29950,50,360.05,300,363.0,22212.7,CE
66,21950,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE21950.00,2979,-2703,-47.57127771911299,19496,9.69,317.95,-41.0,-11.422203649533362,36250,18300,50,319.1,550,323.95,22212.7,CE
67,22000,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22000.00,73593,-8051,-9.861104306501396,210086,10.75,284.35,-33.549999999999955,-10.553633217993067,185600,94350,250,282.0,200,283.0,22212.7,CE
68,22050,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22050.00,6610,-671,-9.215767064963604,49602,11.16,249.8,-31.44999999999999,-11.182222222222219,37100,38250,100,244.35,700,249.5,22212.7,CE
69,22100,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22100.00,31593,-9350,-22.836626529565493,274277,10.8,211.0,-37.849999999999994,-15.209965842877232,87950,129100,50,211.05,200,213.7,22212.7,CE
70,22150,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22150.00,13169,2971,29.133163365365757,210616,11.06,181.15,-33.150000000000006,-15.46896873541764,63750,89800,150,181.15,400,182.25,22212.7,CE
71,22200,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22200.00,75976,10397,15.854160630689703,1521719,11.18,153.0,-34.19999999999999,-18.269230769230766,175150,533450,100,152.0,6300,153.0,22212.7,CE
72,22250,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22250.00,49173,27950,131.69674409838382,1441589,11.17,126.55,-36.14999999999999,-22.218807621389054,91700,473000,150,126.55,2900,127.0,22212.7,CE
73,22300,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22300.00,110676,58212,110.95608417200366,1965981,11.07,102.25,-35.150000000000006,-25.58224163027657,230650,835850,1250,102.25,650,104.1,22212.7,CE
74,22350,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22350.00,23717,11257,90.34510433386838,668396,11.07,82.05,-31.10000000000001,-27.48563853292091,64200,224650,50,82.05,3550,83.45,22212.7,CE
75,22400,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22400.00,83765,36431,76.96581738285376,1298726,11.2,66.3,-27.400000000000006,-29.24226254002135,168600,739450,850,64.8,350,66.3,22212.7,CE
