,Unnamed: 0,FileName,FilePath,FilenameWithoutExt
12,12,Aaraattu_2022.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aaraattu_2022.mkv,Aaraattu_2022
16,16,Aashiqui 2.2013.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aashiqui 2.2013.mkv,Aashiqui 2.2013
23,23,Ae.Dil.Hai.Mushkil.2016.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Ae.Dil.Hai.Mushkil.2016.mkv,Ae.Dil.Hai.Mushkil.2016
