SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
SBICARD,749.7,751.9,737.95,739.5,3870,21320800,422400,12-APR-2024
SBILIFE,1495.65,1512.5,1491.5,1494.8,2719,8934000,-180000,12-APR-2024
SBIN,778.25,782.15,767.6,768.95,22088,95974500,2418000,12-APR-2024
SHREECEM,25741.2,25930.0,25242.1,25482.5,1889,302100,6175,12-APR-2024
SHRIRAMFIN,2521.05,2524.0,2487.0,2494.9,3154,5605800,53400,12-APR-2024
SIEMENS,5580.0,5696.1,5576.0,5595.7,2463,1291950,-45900,12-APR-2024
SRF,2645.15,2693.8,2628.0,2633.65,5968,5187750,334125,12-APR-2024
SUNPHARMA,1592.0,1592.0,1533.0,1538.6,13369,14343700,1400700,12-APR-2024
SUNTV,632.45,636.2,618.25,620.95,1454,7056000,190500,12-APR-2024
SYNGENE,743.9,765.7,738.0,745.45,6637,4905000,864000,12-APR-2024
TATACHEM,1167.0,1182.7,1146.6,1148.9,8717,12266100,245300,12-APR-2024
TATACOMM,1980.0,1985.4,1947.0,1953.3,4694,6660500,193500,12-APR-2024
TATACONSUM,1147.2,1157.3,1136.55,1150.95,4796,13184100,-445500,12-APR-2024
TATAMOTORS,1016.9,1029.9,1015.3,1019.4,17976,64180575,-913425,12-APR-2024
TATAPOWER,432.5,445.75,430.0,438.55,16109,94419000,2261250,12-APR-2024
TATASTEEL,165.1,166.25,163.1,163.75,18131,251713000,390500,12-APR-2024
TCS,3980.5,4024.55,3960.1,4015.25,39877,16431625,1314775,12-APR-2024
TECHM,1270.5,1273.1,1241.0,1246.4,8919,15866400,948600,12-APR-2024
TITAN,3709.95,3709.95,3622.15,3626.65,14532,6081950,239925,12-APR-2024
TORNTPHARM,2571.55,2608.0,2557.7,2583.4,671,1584500,18000,12-APR-2024
TRENT,4016.0,4118.5,4016.0,4061.9,3418,3602800,60000,12-APR-2024
TVSMOTOR,2090.0,2112.9,2042.6,2048.85,4505,5558000,85050,12-APR-2024
UBL,1843.95,1862.65,1828.1,1838.45,2012,2447600,-103600,12-APR-2024
ULTRACEMCO,9805.6,9860.0,9640.35,9666.6,8837,2385000,126900,12-APR-2024
UPL,506.5,511.95,500.95,502.4,9560,46371000,850200,12-APR-2024
VEDL,363.8,376.0,361.15,373.7,25990,119774800,-2783000,12-APR-2024
VOLTAS,1339.05,1347.15,1311.2,1315.6,6289,7735200,524400,12-APR-2024
WIPRO,474.35,481.5,470.65,471.8,12553,69402000,1602000,12-APR-2024
ZEEL,150.05,152.6,146.6,146.95,180,146271000,-540000,12-APR-2024
ZYDUSLIFE,991.4,998.7,962.85,966.15,4075,9234000,322200,12-APR-2024
