SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
BANKNIFTY,47699.0,47967.0,47580.0,47912.3,137964,2506710,99645,03-APR-2024
FINNIFTY,21211.2,21367.35,21150.6,21316.85,1641,70040,7160,03-APR-2024
MIDCPNIFTY,10787.75,10857.5,10731.2,10834.75,6143,1685700,2850,03-APR-2024
NIFTY,22486.0,22630.75,22450.0,22542.6,134861,11086700,125700,03-APR-2024
AARTIIND,685.0,704.7,682.0,697.9,3239,13789000,-134000,03-APR-2024
ABB,6490.75,6548.0,6460.0,6535.7,2625,1043875,-8500,03-APR-2024
ABBOTINDIA,27344.75,27384.7,26850.0,26877.75,720,209200,360,03-APR-2024
ABCAPITAL,200.0,207.95,200.0,205.5,5665,49987800,-81000,03-APR-2024
ABFRL,237.9,241.2,235.0,237.65,5213,43214600,382200,03-APR-2024
ACC,2657.3,2668.95,2620.0,2645.2,2942,5363700,-24000,03-APR-2024
ADANIENT,3259.55,3281.9,3238.35,3256.9,6570,13977600,90000,03-APR-2024
ADANIPORTS,1408.45,1409.0,1394.1,1404.05,7679,36020800,-788800,03-APR-2024
ALKEM,4950.1,4966.6,4904.45,4911.8,839,1124200,-8200,03-APR-2024
AMBUJACEM,634.5,642.9,629.0,637.5,5557,48960000,-579600,03-APR-2024
APOLLOHOSP,6416.65,6437.75,6346.2,6396.6,2868,1764500,-15375,03-APR-2024
APOLLOTYRE,472.2,472.9,468.0,470.8,1686,13798900,421600,03-APR-2024
ASHOKLEY,172.8,176.2,171.55,175.2,4869,92135000,-595000,03-APR-2024
ASIANPAINT,2863.0,2889.0,2855.4,2877.6,5698,9517800,125200,03-APR-2024
ASTRAL,2060.0,2072.15,2037.55,2063.65,1385,2895263,10643,03-APR-2024
ATUL,5938.75,6071.0,5863.5,6016.15,2440,464700,16875,03-APR-2024
AUBANK,587.95,612.0,580.15,608.1,20386,19861000,1921000,03-APR-2024
AUROPHARMA,1110.0,1153.8,1110.0,1142.15,5181,14865400,-427900,03-APR-2024
AXISBANK,1048.85,1074.25,1048.85,1067.95,29669,52645625,-708125,03-APR-2024
BAJAJ-AUTO,9260.0,9260.0,9102.0,9119.9,5863,2810750,73875,03-APR-2024
BAJAJFINSV,1662.15,1665.0,1642.6,1650.95,3517,10299500,121000,03-APR-2024
BAJFINANCE,7226.2,7360.0,7217.65,7338.6,11339,6001500,-73250,03-APR-2024
BALKRISIND,2345.0,2367.9,2323.0,2332.6,1608,2273400,88800,03-APR-2024
BALRAMCHIN,384.15,393.95,382.65,388.0,2507,11104000,169600,03-APR-2024
BANDHANBNK,193.2,193.2,190.0,191.8,8934,114212500,2695000,03-APR-2024
BANKBARODA,271.9,277.15,269.0,275.8,18814,131218425,7268625,03-APR-2024
BATAINDIA,1376.35,1386.0,1372.25,1376.1,1481,3317625,139125,03-APR-2024
BEL,222.4,226.4,220.1,222.95,15124,161925600,4081200,03-APR-2024
BERGEPAINT,557.95,564.1,556.0,559.2,1646,13499640,99000,03-APR-2024
BHARATFORG,1135.0,1146.85,1105.1,1144.1,5005,6951000,296000,03-APR-2024
BHARTIARTL,1202.5,1244.75,1196.65,1229.7,10648,32005500,-343900,03-APR-2024
BHEL,252.25,256.25,250.2,253.25,6447,91066500,3937500,03-APR-2024
BIOCON,271.7,276.5,270.95,274.35,3558,44427500,115000,03-APR-2024
BOSCHLTD,30980.3,31100.0,30738.35,30981.3,718,288100,6550,03-APR-2024
BPCL,617.55,621.75,611.65,614.25,6532,23198400,-140400,03-APR-2024
BRITANNIA,4899.25,4899.25,4825.0,4852.55,2505,1734800,31800,03-APR-2024
BSOFT,766.35,788.65,761.8,780.35,3617,7602000,317000,03-APR-2024
CANBK,596.15,615.35,593.2,610.45,12348,62275500,2926800,03-APR-2024
