SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
BANKNIFTY,48185.0,48323.5,47920.0,48199.1,188563,2218050,-288660,04-APR-2024
FINNIFTY,21401.0,21524.95,21311.85,21449.95,2438,58720,-11320,04-APR-2024
MIDCPNIFTY,10846.1,10896.3,10816.0,10834.2,10933,1750875,65175,04-APR-2024
NIFTY,22640.05,22669.0,22420.05,22612.25,236944,10917000,-169700,04-APR-2024
AARTIIND,699.0,705.05,690.0,695.6,2075,13826000,37000,04-APR-2024
ABB,6560.9,6640.0,6520.5,6539.6,3231,1022250,-21625,04-APR-2024
ABBOTINDIA,26900.0,26975.15,26502.5,26731.15,857,206400,-2800,04-APR-2024
ABCAPITAL,205.2,209.35,204.5,206.75,3255,48907800,-1080000,04-APR-2024
ABFRL,238.25,239.8,234.65,238.05,4000,42746600,-468000,04-APR-2024
ACC,2647.3,2675.0,2600.35,2624.6,2602,5281200,-82500,04-APR-2024
ADANIENT,3265.0,3292.0,3219.6,3228.3,7842,14073000,95400,04-APR-2024
ADANIPORTS,1409.25,1414.9,1366.3,1370.45,13856,36383200,362400,04-APR-2024
ALKEM,4917.2,4917.2,4845.0,4878.25,1152,1099400,-24800,04-APR-2024
AMBUJACEM,641.0,642.75,626.0,628.2,3773,48792600,-167400,04-APR-2024
APOLLOHOSP,6389.5,6492.0,6350.05,6458.0,4262,1724000,-40500,04-APR-2024
APOLLOTYRE,470.1,475.85,458.95,461.45,3729,14492500,693600,04-APR-2024
ASHOKLEY,175.4,175.65,173.45,174.0,2920,94955000,2820000,04-APR-2024
ASIANPAINT,2875.6,2947.05,2860.1,2922.5,13639,9561800,44000,04-APR-2024
ASTRAL,2081.45,2111.15,2064.25,2073.4,2237,2931963,36700,04-APR-2024
ATUL,6044.85,6080.65,5992.0,6025.2,1270,468750,4050,04-APR-2024
AUBANK,623.05,639.15,616.8,619.1,24772,19726000,-135000,04-APR-2024
AUROPHARMA,1143.4,1143.4,1121.1,1129.95,3183,14958900,93500,04-APR-2024
AXISBANK,1074.4,1083.6,1062.35,1066.4,35359,53892500,1246875,04-APR-2024
BAJAJ-AUTO,9190.0,9208.65,9030.0,9174.45,6339,2755750,-55000,04-APR-2024
BAJAJFINSV,1656.1,1671.55,1638.35,1665.1,5420,10343500,44000,04-APR-2024
BAJFINANCE,7370.0,7376.75,7289.7,7322.1,11299,5913000,-88500,04-APR-2024
BALKRISIND,2340.05,2366.45,2326.3,2355.55,1303,2245200,-28200,04-APR-2024
BALRAMCHIN,389.4,390.55,382.1,385.1,1201,11177600,73600,04-APR-2024
BANDHANBNK,193.15,200.85,193.15,199.3,25575,125745000,11532500,04-APR-2024
BANKBARODA,278.3,278.3,269.6,270.8,15015,135646875,4428450,04-APR-2024
BATAINDIA,1384.8,1384.8,1371.0,1376.0,1673,3341625,24000,04-APR-2024
BEL,223.85,224.85,219.25,221.5,7616,163675500,1749900,04-APR-2024
BERGEPAINT,558.05,561.65,556.0,558.65,1724,13607880,108240,04-APR-2024
BHARATFORG,1152.55,1174.95,1141.65,1153.15,7003,7401500,450500,04-APR-2024
BHARTIARTL,1236.85,1237.15,1207.85,1212.5,7825,32210700,205200,04-APR-2024
BHEL,254.1,258.2,248.5,252.9,7129,93135000,2068500,04-APR-2024
BIOCON,275.4,275.85,270.45,271.4,2058,44930000,502500,04-APR-2024
BOSCHLTD,31015.4,31299.0,30740.0,30952.35,903,288350,250,04-APR-2024
BPCL,615.7,618.8,598.2,601.9,8663,23949000,750600,04-APR-2024
BRITANNIA,4838.05,4865.9,4801.0,4819.35,2348,1772000,37200,04-APR-2024
BSOFT,786.6,788.4,773.1,783.55,2837,7804000,202000,04-APR-2024
CANBK,616.2,617.95,604.0,611.35,10551,64505700,2230200,04-APR-2024
CANFINHOME,815.0,817.9,800.1,811.05,1617,3399825,-13650,04-APR-2024
CHAMBLFERT,375.7,379.35,369.45,371.55,1491,9302400,28500,04-APR-2024
CHOLAFIN,1209.85,1216.45,1200.15,1202.6,2902,8994375,-103750,04-APR-2024
CIPLA,1482.0,1486.4,1452.5,1466.35,3335,9192950,-244400,04-APR-2024
COALINDIA,451.5,455.65,444.45,450.0,14487,58524900,-2349900,04-APR-2024
COFORGE,5830.0,5927.75,5764.05,5846.3,9965,1595550,-19800,04-APR-2024
COLPAL,2816.45,2823.45,2709.0,2717.75,2692,4109700,100800,04-APR-2024
CONCOR,922.0,929.0,913.4,916.95,3199,15270000,-123000,04-APR-2024
COROMANDEL,1152.95,1160.05,1136.75,1148.45,882,1460900,-111300,04-APR-2024
CROMPTON,281.0,284.15,280.05,281.5,1921,23778000,-82800,04-APR-2024
CUB,151.1,159.2,151.0,154.65,6096,40130000,-1185000,04-APR-2024
CUMMINSIND,3081.75,3081.75,3012.15,3043.55,2124,3156000,-14400,04-APR-2024
DABUR,534.7,534.7,503.5,507.25,15381,23721250,807500,04-APR-2024
DALBHARAT,2054.65,2065.0,2026.9,2031.2,3243,3147250,-260750,04-APR-2024
DEEPAKNTR,2208.45,2238.5,2170.05,2220.95,7483,2981100,117000,04-APR-2024
DIVISLAB,3725.1,3768.4,3700.7,3744.7,6315,3033400,-181400,04-APR-2024
DIXON,7754.75,7785.0,7648.0,7670.85,3658,1184000,3500,04-APR-2024
DLF,914.95,919.0,888.65,893.2,9393,44026950,2902350,04-APR-2024
DRREDDY,6163.6,6193.0,6077.0,6158.2,4821,1999750,-43500,04-APR-2024
EICHERMOT,3974.9,4042.45,3912.5,4025.75,8239,3981600,-251825,04-APR-2024
ESCORTS,3029.0,3054.0,3001.0,3030.45,2848,1835350,35750,04-APR-2024
EXIDEIND,315.45,325.65,315.45,321.1,4655,21700800,1958400,04-APR-2024
FEDERALBNK,156.25,157.25,152.65,153.0,8911,96475000,6025000,04-APR-2024
GAIL,191.35,191.35,185.95,187.65,6821,128058825,1130025,04-APR-2024
GLENMARK,997.15,1013.6,993.5,1009.0,2505,13226175,73225,04-APR-2024
GMRINFRA,84.85,86.2,83.9,84.8,2904,191835000,-1620000,04-APR-2024
GNFC,699.0,703.2,692.05,697.55,1644,7376200,-29900,04-APR-2024
GODREJCP,1198.6,1208.75,1180.25,1183.5,2429,5688500,73000,04-APR-2024
GODREJPROP,2425.8,2433.25,2408.05,2418.25,2566,4503950,13775,04-APR-2024
GRANULES,456.0,456.0,442.75,446.3,1386,8944000,-406000,04-APR-2024
GRASIM,2311.55,2321.0,2258.0,2277.75,4489,6654150,142623,04-APR-2024
GUJGASLTD,554.8,556.5,544.65,548.85,1229,5640000,95000,04-APR-2024
HAL,3617.75,3625.95,3521.05,3558.75,10366,7437000,-181500,04-APR-2024
HAVELLS,1560.1,1563.0,1538.45,1545.35,3215,7362000,-244500,04-APR-2024
HCLTECH,1547.85,1561.0,1527.25,1547.7,5667,15330700,-17500,04-APR-2024
HDFCAMC,3750.05,3763.65,3704.45,3711.6,2107,2833500,11100,04-APR-2024
HDFCBANK,1509.0,1535.0,1503.65,1531.9,127464,187696850,-8397950,04-APR-2024
HDFCLIFE,627.0,629.2,621.05,625.6,4160,27054500,-6600,04-APR-2024
HEROMOTOCO,4587.25,4599.0,4480.0,4545.45,5865,4314000,92700,04-APR-2024
HINDALCO,592.9,595.95,572.1,580.3,10450,40178600,366800,04-APR-2024
HINDCOPPER,320.05,324.0,313.0,314.7,554,35096600,-2936200,04-APR-2024
HINDPETRO,476.1,481.85,460.9,462.95,6570,40302900,2073600,04-APR-2024
HINDUNILVR,2278.25,2287.7,2262.0,2271.5,7953,18880800,-61500,04-APR-2024
ICICIBANK,1090.6,1091.0,1068.95,1081.6,46429,74859400,-371700,04-APR-2024
ICICIGI,1700.55,1705.5,1643.1,1647.25,1513,2666500,5500,04-APR-2024
ICICIPRULI,618.25,619.15,602.85,606.65,2820,11593500,153000,04-APR-2024
IDEA,14.0,14.1,13.05,13.4,22709,2272240000,154080000,04-APR-2024
IDFC,116.0,116.9,115.3,116.35,2082,72740000,115000,04-APR-2024
IDFCFIRSTB,79.2,80.5,78.85,79.9,14396,358267500,-5377500,04-APR-2024
IEX,146.0,148.6,145.2,145.6,6216,63982500,2025000,04-APR-2024
IGL,434.8,439.8,432.6,435.95,2940,17210875,-184250,04-APR-2024
INDHOTEL,616.45,624.0,613.4,619.55,2557,17528000,-606000,04-APR-2024
INDIACEM,225.2,229.1,223.55,224.95,2347,25578000,-316100,04-APR-2024
INDIAMART,2582.85,2582.85,2493.05,2501.1,4660,1355700,366300,04-APR-2024
INDIGO,3525.1,3540.0,3478.9,3504.35,3540,6091500,-57300,04-APR-2024
INDUSINDBK,1554.05,1555.95,1519.9,1549.5,17472,21629500,805000,04-APR-2024
