SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
GNFC,670.2,683.0,667.0,680.65,410,7944300,-404300,26-FEB-2024
GODREJCP,1259.4,1259.4,1234.45,1250.65,6780,6295000,-143500,26-FEB-2024
GODREJPROP,2467.2,2491.0,2401.0,2468.45,10967,4938100,-73625,26-FEB-2024
GRANULES,467.85,479.6,464.35,469.6,6976,11856000,492000,26-FEB-2024
GRASIM,2204.0,2207.5,2173.4,2190.6,10208,8721945,-185076,26-FEB-2024
GUJGASLTD,580.35,583.0,566.5,567.65,9014,7826250,-1002500,26-FEB-2024
HAL,3042.6,3078.5,3015.1,3054.25,19885,8892600,-188100,26-FEB-2024
HAVELLS,1426.3,1429.95,1411.4,1423.8,6244,4417500,42000,26-FEB-2024
HCLTECH,1663.55,1668.8,1642.75,1653.0,12129,13722800,-48300,26-FEB-2024
HDFCAMC,3777.25,3914.9,3752.8,3885.45,13410,3306300,302700,26-FEB-2024
HDFCBANK,1417.9,1437.0,1417.9,1425.8,164637,228197750,-456500,26-FEB-2024
HDFCLIFE,573.25,581.95,569.3,577.4,13705,35077900,1273800,26-FEB-2024
HEROMOTOCO,4500.0,4522.55,4458.65,4491.35,12338,4071300,-90900,26-FEB-2024
HINDALCO,517.65,519.15,503.8,505.05,24731,51158800,-516600,26-FEB-2024
HINDCOPPER,265.45,267.35,257.85,262.75,252,31800000,-699600,26-FEB-2024
HINDPETRO,526.6,544.7,511.65,542.45,17294,38070000,2133000,26-FEB-2024
HINDUNILVR,2387.2,2404.0,2381.9,2401.85,15387,12690000,171300,26-FEB-2024
ICICIBANK,1060.1,1063.55,1052.05,1053.95,60203,76339900,-3453800,26-FEB-2024
ICICIGI,1644.95,1667.55,1633.45,1649.8,3841,3214500,102500,26-FEB-2024
ICICIPRULI,521.45,528.85,519.8,524.1,6544,12552000,-312000,26-FEB-2024
IDEA,17.65,18.0,16.75,16.85,22814,2190960000,-28320000,26-FEB-2024
IDFC,118.8,120.9,118.0,119.4,7219,70935000,-1375000,26-FEB-2024
IDFCFIRSTB,83.0,84.65,82.65,84.05,53324,357187500,-36997500,26-FEB-2024
IEX,145.6,148.35,145.45,146.85,10213,66168750,-4046250,26-FEB-2024
IGL,436.35,438.55,431.0,432.45,12903,14458125,-93500,26-FEB-2024
INDHOTEL,596.0,599.45,568.2,581.0,14858,18836000,242000,26-FEB-2024
INDIACEM,245.6,245.75,238.25,239.35,4773,21393300,-63800,26-FEB-2024
INDIAMART,2674.7,2710.0,2659.75,2688.45,2832,1004400,-49800,26-FEB-2024
INDIGO,3192.05,3196.95,3130.85,3178.75,13533,5945700,87300,26-FEB-2024
INDUSINDBK,1481.2,1486.8,1465.55,1468.7,29576,27959500,318500,26-FEB-2024
INDUSTOWER,245.5,252.8,243.25,246.45,59625,104543200,6113200,26-FEB-2024
INFY,1676.35,1676.4,1647.65,1662.5,41217,25464000,702800,26-FEB-2024
IOC,175.75,179.15,173.05,178.0,11917,182120250,5538000,26-FEB-2024
IPCALAB,1215.75,1224.45,1208.2,1214.6,2911,3430700,-273650,26-FEB-2024
IRCTC,964.95,989.9,962.85,968.2,18990,18102000,34125,26-FEB-2024
ITC,411.25,412.8,408.0,410.05,27454,119880000,-6400,26-FEB-2024
JINDALSTEL,786.7,786.7,767.0,770.6,8911,24978750,21250,26-FEB-2024
JKCEMENT,4353.75,4405.15,4331.4,4392.2,2885,779000,16000,26-FEB-2024
JSWSTEEL,826.3,826.95,805.6,808.55,16559,17830800,851850,26-FEB-2024
JUBLFOOD,492.05,492.85,483.8,487.35,13961,20495000,-1688750,26-FEB-2024
