SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
BANKNIFTY,46545.0,46745.0,46310.3,46587.2,232461,3241995,101520,27-FEB-2024
FINNIFTY,20590.0,20640.0,20500.15,20554.3,12182,280800,154120,27-FEB-2024
MIDCPNIFTY,11018.95,11095.0,10968.2,11049.9,6502,747225,-20175,27-FEB-2024
NIFTY,22120.0,22229.3,22095.1,22203.05,212552,15224650,384850,27-FEB-2024
AARTIIND,674.9,678.8,667.45,670.15,5912,13885000,-192000,27-FEB-2024
ABB,5294.3,5466.1,5266.6,5445.5,12615,1711250,-7500,27-FEB-2024
ABBOTINDIA,27800.2,28768.9,27800.2,28701.3,2222,198160,3120,27-FEB-2024
ABCAPITAL,190.45,193.45,187.0,188.0,9801,66673800,-3709800,27-FEB-2024
ABFRL,226.45,231.35,224.05,230.2,1113,45370000,-2888600,27-FEB-2024
ACC,2659.65,2702.55,2658.4,2670.15,10377,4997700,-134100,27-FEB-2024
ADANIENT,3336.1,3339.95,3270.55,3301.35,27525,15654900,-316200,27-FEB-2024
ADANIPORTS,1336.8,1339.9,1311.5,1326.75,28461,39099200,-413600,27-FEB-2024
ALKEM,4946.4,5094.7,4946.4,5038.4,7967,1470000,-9800,27-FEB-2024
AMBUJACEM,600.8,611.65,598.35,603.25,17679,52369200,-2431800,27-FEB-2024
APOLLOHOSP,6606.75,6670.0,6582.15,6630.0,13116,1824250,-53625,27-FEB-2024
APOLLOTYRE,523.4,527.85,514.7,517.3,5318,10706600,372300,27-FEB-2024
ASHOKLEY,173.7,175.3,172.8,174.5,31400,108535000,1345000,27-FEB-2024
ASIANPAINT,2850.1,2872.45,2845.0,2861.65,30474,8914800,-541800,27-FEB-2024
ASTRAL,2048.1,2130.7,2048.05,2098.05,10303,3726151,-244422,27-FEB-2024
ATUL,6277.55,6299.95,6225.05,6233.15,3380,414825,26100,27-FEB-2024
AUBANK,589.7,596.9,587.7,592.0,18873,24801000,-1629000,27-FEB-2024
AUROPHARMA,1032.0,1053.0,1032.0,1044.35,11947,21483000,-314600,27-FEB-2024
AXISBANK,1081.65,1089.75,1072.9,1080.3,70423,48682500,2105625,27-FEB-2024
BAJAJ-AUTO,8383.15,8403.8,8284.0,8383.5,17758,2183750,-53750,27-FEB-2024
BAJAJFINSV,1611.65,1622.75,1594.0,1597.4,14130,9658000,178500,27-FEB-2024
BAJFINANCE,6634.05,6641.6,6482.05,6549.5,49708,9545375,471750,27-FEB-2024
BALKRISIND,2303.8,2323.8,2277.15,2290.7,3864,2617800,-1800,27-FEB-2024
BALRAMCHIN,379.0,388.0,377.55,384.6,965,11331200,-819200,27-FEB-2024
BANDHANBNK,202.95,204.25,201.0,201.45,16823,106652500,-365000,27-FEB-2024
BANKBARODA,269.65,272.75,266.95,269.75,36618,142435800,-2828475,27-FEB-2024
BATAINDIA,1428.85,1445.0,1418.4,1438.8,8755,2954250,-605625,27-FEB-2024
