,strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,type
62,23150,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23150.00,49363,30644,163.70532613921685,426887,13.72,98.4,1.4000000000000057,1.4432989690721707,185000,239425,425,98.15,50,98.35,22980.15,CE
63,23200,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23200.00,146923,53443,57.17051775780916,867068,13.64,81.95,3.4000000000000057,4.328453214513056,405850,523400,250,81.9,175,81.95,22980.15,CE
64,23250,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23250.00,34444,17622,104.75567708952562,278664,13.57,65.85,3.299999999999997,5.275779376498797,148400,180800,1225,65.7,2175,65.85,22980.15,CE
65,23300,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23300.00,109461,35168,47.336895804449945,581938,13.5,53.15,3.25,6.513026052104208,469100,342650,925,53.05,1050,53.2,22980.15,CE
66,23350,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23350.00,38218,19656,105.89376144811982,295334,13.49,42.3,3.25,8.322663252240718,163950,157550,2525,42.35,3325,42.5,22980.15,CE
67,23400,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23400.00,130885,60405,85.70516458569807,508512,13.47,33.9,3.299999999999997,10.784313725490186,272825,356350,125,33.75,1825,33.85,22980.15,CE
68,23450,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23450.00,52792,34670,191.31442445646175,293832,13.5,26.95,3.25,13.71308016877637,150400,179075,2425,26.8,3550,26.9,22980.15,CE
69,23500,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23500.00,274036,85474,45.32938768150529,947659,13.58,21.25,2.8999999999999986,15.80381471389645,1063575,743775,8125,21.25,2225,21.35,22980.15,CE
70,23550,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23550.00,33772,17267,104.61678279309301,231743,13.67,16.5,2.3499999999999996,16.607773851590103,166575,180700,4725,16.55,9225,16.65,22980.15,CE
71,23600,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23600.00,107634,39386,57.7101160473567,461996,13.78,13.4,2.4000000000000004,21.818181818181824,442200,281500,4025,13.35,2100,13.4,22980.15,CE
72,23650,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23650.00,66231,29783,81.71367427568042,320124,13.94,10.5,2.25,27.27272727272727,250550,205600,1825,10.5,7250,10.55,22980.15,CE
73,23700,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23700.00,113001,50584,81.04202380761652,408360,14.17,8.85,2.0999999999999996,31.111111111111107,461200,263175,13675,8.8,975,8.85,22980.15,CE
74,23750,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23750.00,46385,29010,166.9640287769784,272845,14.47,7.45,1.8500000000000005,33.0357142857143,244625,171900,11350,7.4,4450,7.45,22980.15,CE
75,23800,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23800.00,168432,66450,65.15855739248103,644245,14.71,6.2,1.75,39.32584269662921,2228875,284900,1575,6.2,11950,6.25,22980.15,CE
76,23850,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23850.00,26227,13221,101.65308319237275,144018,15.06,5.45,1.5,37.974683544303794,250125,146500,4350,5.4,12000,5.45,22980.15,CE
77,23900,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23900.00,93961,62834,201.8633340829505,320795,15.56,5.0,1.6,47.05882352941177,634475,218725,17700,4.95,15525,5.0,22980.15,CE
78,23950,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE23950.00,20640,12523,154.28113835160772,132965,15.94,4.3,1.2999999999999998,43.33333333333333,392775,208200,3350,4.3,16400,4.35,22980.15,CE
79,24000,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24000.00,380134,173744,84.18237317699501,1080383,16.32,3.85,1.0500000000000003,37.500000000000014,3166025,719400,19825,3.8,33150,3.85,22980.15,CE
80,24050,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24050.00,31105,26363,555.9468578658793,165447,16.73,3.5,1.1,45.833333333333336,316600,160275,21200,3.45,8000,3.5,22980.15,CE
81,24100,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24100.00,54621,36048,194.0881925375545,265015,17.17,3.15,0.9499999999999997,43.181818181818166,805125,141200,20225,3.15,13975,3.2,22980.15,CE
82,24150,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24150.00,22930,19317,534.6526432327705,111323,17.62,3.0,1.0,50.0,257200,124200,6825,3.0,26475,3.05,22980.15,CE
83,24200,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24200.00,58810,32415,122.80734987687062,239063,17.95,2.7,0.7000000000000002,35.00000000000001,890775,324050,28725,2.65,20325,2.7,22980.15,CE
84,24250,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24250.00,17874,9905,124.29413979169281,76085,18.38,2.5,0.7,38.888888888888886,239350,75775,9500,2.5,13225,2.55,22980.15,CE
85,24300,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24300.00,44271,14737,49.89842215751337,162974,18.85,2.3,0.4999999999999998,27.77777777777776,1162550,160375,16925,2.3,13150,2.35,22980.15,CE
86,24350,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24350.00,16410,12309,300.14630577907826,75359,19.23,2.2,0.40000000000000013,22.22222222222223,295125,101425,17125,2.15,9350,2.2,22980.15,CE
87,24400,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24400.00,26721,10186,61.602661022074386,152578,19.59,2.0,0.30000000000000004,17.647058823529417,1286375,108850,30450,2.0,25675,2.05,22980.15,CE
88,24450,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24450.00,27854,12205,77.99220397469487,107531,20.12,1.9,0.2999999999999998,18.74999999999999,466000,117950,18200,1.9,18000,1.95,22980.15,CE
89,24500,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24500.00,194879,35738,22.456815025669062,489884,20.35,1.65,0.04999999999999982,3.124999999999989,5484625,720175,131550,1.6,67900,1.65,22980.15,CE
90,24550,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24550.00,4733,0,0.0,22780,20.69,1.5,-83.7,-98.23943661971832,387350,41175,9700,1.5,8325,1.55,22980.15,CE
91,24600,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24600.00,39897,0,0.0,156613,20.82,1.3,-79.2,-98.38509316770187,1661150,98250,27225,1.3,33675,1.35,22980.15,CE
92,24650,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24650.00,19222,0,0.0,80101,21.28,1.25,-74.75,-98.35526315789474,925025,91450,26550,1.2,32275,1.25,22980.15,CE
93,24700,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE24700.00,52827,0,0.0,205349,21.51,1.1,-70.60000000000001,-98.46582984658299,3113450,191575,26550,1.1,68250,1.15,22980.15,CE
