Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover
06-Apr-23,40940.7,41274.7,40820.55,41041,196452877,10791.31
10-Apr-23,41116.15,41139.85,40727.25,40834.65,153859989,8727.71
11-Apr-23,41232,41403.25,40990.2,41366.5,219237547,13404
12-Apr-23,41426,41610.15,41332,41557.95,142985802,8208.97
13-Apr-23,41680.1,42196.2,41502.65,42132.55,232564439,13769.52
17-Apr-23,42603.55,42603.55,41799,42262.55,229078748,13081.8
18-Apr-23,42406.95,42500.7,42114.35,42265.2,214189864,10108.59
19-Apr-23,42280.1,42339.9,42022.15,42154,169982419,9147.47
20-Apr-23,42218.5,42378.15,42108.85,42269.5,180246791,9164.53
21-Apr-23,42252.55,42382.15,41962.35,42118,144147297,8254.2
24-Apr-23,42469.95,42714.15,42269.1,42635.75,201023928,10977.6
25-Apr-23,42731.6,42865.55,42601.5,42678.5,262419867,16091.04
26-Apr-23,42559.05,42875.6,42432.25,42829.9,177952224,10076.71
27-Apr-23,42753.9,43043.4,42736.6,43000.85,181354187,11125.02
28-Apr-23,43045.5,43302.05,42810.35,43233.9,238716537,9596.55
02-May-23,43395.05,43483.85,43269.4,43352.1,241565172,8918.99
03-May-23,43154.85,43354.95,43078.15,43312.7,175911031,8162.64
04-May-23,43236.1,43739.8,43213.95,43685.45,175448903,10303.65
05-May-23,43110.65,43588,42582.2,42661.2,251224734,12574.43
08-May-23,42796.85,43418.55,42780.3,43284,223352243,9264.84
09-May-23,43438.55,43533.25,43125.85,43198.15,228991809,10382.06
10-May-23,43275.25,43383.65,42822.15,43331.05,249129783,11364.82
11-May-23,43535.1,43774.25,43367.25,43475.3,190686219,9826.89
12-May-23,43447.15,43905.95,43347.75,43793.55,144937627,6915.09
15-May-23,43821.05,44151.7,43666.6,44072.1,161260256,6189.39
16-May-23,44144.15,44144.15,43815.7,43903.7,222536217,10093.99
17-May-23,43948.5,43992.75,43446.4,43698.7,203597921,9812.19
18-May-23,44006.9,44079.2,43673.7,43752.3,226492176,12657.89
19-May-23,43930,44020.9,43531.9,43969.4,192042449,9384.53
22-May-23,43935.3,44026.75,43684.9,43885.1,183783537,8083.39
23-May-23,43978.9,44095.25,43852.2,43954.45,142021247,7352.99
24-May-23,43751.95,44010.45,43639.8,43677.85,148625634,8248.12
25-May-23,43630.25,43719.85,43390.3,43681.4,170186160,8602.95
26-May-23,43765.35,44067.6,43588.8,44018,143222738,6120.71
29-May-23,44276.8,44483.35,44193.95,44311.9,148580468,6899.27
30-May-23,44277.35,44498.6,44207.5,44436.35,157593352,9002.94
31-May-23,44318,44339.05,43822.7,44128.15,305745119,30474.33
01-Jun-23,44172.05,44179.95,43706.15,43790.2,182945759,10854.82
02-Jun-23,43997.3,44088.9,43812.55,43937.85,123851342,6150.87
05-Jun-23,44103.25,44266.15,44074.2,44101.65,124513498,6395.22
06-Jun-23,44156.7,44236.2,44009.7,44164.55,123561408,7703.56
07-Jun-23,44318.7,44346.3,44143.5,44275.3,119216872,7450.27
08-Jun-23,44208.3,44459.25,43917.9,43995.25,160157265,9066.63
09-Jun-23,44045.75,44220.1,43932.6,43989,132310915,8922.34
12-Jun-23,44035.2,44124.95,43874.05,43944.2,91412250,4657.88
13-Jun-23,43889.7,44138.15,43889.7,44079.85,160045490,9026.03
14-Jun-23,44181.65,44212.35,43956.15,43988,154599371,6902.13
15-Jun-23,44054.35,44077.45,43397.5,43443.6,228184460,10402.67
16-Jun-23,43583.35,44083.25,43536.95,43938.15,234688714,6524.62
19-Jun-23,44015.3,44040.35,43501.4,43633.75,234897358,9396.05
20-Jun-23,43597.55,43823.95,43345.95,43766.5,161879136,6951.08
21-Jun-23,43894.4,43946.7,43698.95,43859.2,179991909,6449.9
22-Jun-23,43874.8,44042.15,43663.35,43724.85,263760682,11850.43
23-Jun-23,43641.6,43824.1,43519.55,43622.9,161308806,6132.03
26-Jun-23,43714.75,43773.1,43541.75,43641.05,120687324,5075.61
27-Jun-23,43804.55,44194.65,43693.15,44121.5,137304064,6984.16
28-Jun-23,44419.5,44508.4,44163.2,44327.8,243833321,12900.23
30-Jun-23,44666,44787.1,44447.2,44747.35,191257943,8995.82
03-Jul-23,44957.95,45353.2,44882.1,45158.1,228168358,9243.6
04-Jul-23,45310.55,45655.5,45000.25,45301.45,462969627,11991.7
05-Jul-23,45169.7,45418.9,45073.4,45151.8,366287666,10661.77
06-Jul-23,45060.55,45417.5,45042.6,45339.9,244924069,10612.41
07-Jul-23,45118.05,45227.25,44844.8,44925,220933310,6423.58
10-Jul-23,44958.65,45184.3,44721.9,44860.85,220868631,8211.64
11-Jul-23,44998,45139.55,44663.05,44745.05,208991985,10144.86
12-Jul-23,44872.6,44937.25,44562.4,44639.45,233078214,13001.64
13-Jul-23,45009.3,45085.15,44612.2,44665.05,336819265,12694.9
14-Jul-23,44860.65,44923.85,44547.8,44819.3,196327724,8116.45
17-Jul-23,44951.2,45556.45,44695.05,45449.75,245926389,11035.15
18-Jul-23,45754.8,45905.85,45281.3,45410.85,307330861,16309.6
19-Jul-23,45622.5,45707.4,45433,45669.3,261049956,9903.75
20-Jul-23,45689.05,46256.2,45640.95,46186.9,315179894,15550.1
21-Jul-23,46063.95,46369.5,45925.9,46075.2,235593414,10250.66
24-Jul-23,46131.9,46191.5,45858.75,45923.05,225835415,10127.18
25-Jul-23,46154.7,46156.1,45622.85,45845,228145332,13407.44
26-Jul-23,45935.15,46096.6,45804.7,46062.35,298409899,7779.64
27-Jul-23,46285.85,46310.1,45570.65,45679.3,320421936,14491.84
28-Jul-23,45560.9,45727.75,45238.8,45468.1,194666588,8389.2
31-Jul-23,45546.35,45694.9,45359.75,45651.1,247859113,8729.51
01-Aug-23,45740,45782.75,45471.05,45592.5,175242040,8546.57
02-Aug-23,45234.65,45404.9,44720.9,44995.7,233601314,8677.17
03-Aug-23,44862.85,45038.45,44279.4,44513.45,245769556,14309.39
04-Aug-23,44754.75,45118.05,44520.55,44879.5,245171463,12540.56
07-Aug-23,44993.7,45011.35,44773.85,44837.5,200781677,9590.15
