Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover
05-Apr-21,33649.15,33697.75,32330.15,32678.85,306389349,8317.73
06-Apr-21,32915.65,33007.65,32338.4,32501.35,263466128,7146.59
07-Apr-21,32529.7,33191.7,32141.55,32991.2,301661823,8454.15
08-Apr-21,33154.2,33306.8,32704.75,32782.85,242109321,6459.28
09-Apr-21,32636.9,32972.15,32329.95,32448.05,342531390,8525.93
12-Apr-21,31637.9,31698.05,30520.3,30792,500839301,10617.9
13-Apr-21,30901.8,31885.45,30722.85,31771.6,394495718,8562.91
15-Apr-21,31929.1,32187.05,31406.4,32112.85,359820808,10459.88
16-Apr-21,32161.45,32325.15,31911.9,31977.45,282437841,6904.9
19-Apr-21,30993.45,31304.3,30405.65,31208.4,371591981,9337.41
20-Apr-21,31568.95,31731.65,30891,31112.7,301980700,7876.41
22-Apr-21,30763.5,31834.5,30555.25,31782.6,324393822,10428.93
23-Apr-21,31490.6,32148.4,31377.15,31722.3,333782207,8936.18
26-Apr-21,32316.65,32603.7,32144.8,32275.15,312038031,11319.42
27-Apr-21,32228.95,32807.1,32152.95,32735.35,298418626,10157.29
28-Apr-21,32865.5,33777.7,32840.3,33722.8,354104361,12947.01
29-Apr-21,33901.6,34287,33304.6,33714.5,381173342,11785.88
30-Apr-21,33112.4,33455.25,32663.4,32781.8,356408638,11062.75
03-May-21,32368.55,32566.6,31906.55,32465.75,313628139,9845.07
04-May-21,32610.4,33011.55,32191.4,32270.35,672537145,10097.81
05-May-21,32577.1,32862.15,32068.55,32783.7,343564356,7341.58
06-May-21,32900.75,32956.35,32564,32827.8,268011511,6399.32
07-May-21,33041.65,33259.15,32771.35,32904.5,261346010,5927.59
10-May-21,33175.3,33297.6,33028.15,33142.4,366829284,6814.19
11-May-21,32640.95,33154.3,32611.7,32872.2,410859353,7328.56
12-May-21,32717.65,32747.7,32352.3,32452.3,530601264,7947.48
14-May-21,32495.15,32622.65,32115.5,32169.55,344502670,6778.47
17-May-21,32437.85,33506.9,32318.7,33459.25,432480348,11186.93
18-May-21,33893.1,34142.85,33730.45,33922.4,385809306,10877.63
19-May-21,33717.1,33959.3,33608.25,33685.2,310365750,7151.62
20-May-21,33692.55,33833.7,33273.95,33334.55,498149396,7971.93
21-May-21,33559.8,34694.45,33559.75,34606.9,534919600,15481.77
