Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover
08-Apr-24,48586.75,48716.95,48424.65,48581.7,263381555,7900.46
09-Apr-24,48810.8,48960.75,48568.25,48730.55,147583296,7024.79
